fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2018-03-28,AA,AA,AA,1329,AA,N822NN,1329,14843,SJU,"San Juan, PR",13930,ORD,"Chicago, IL",1450,1450,0,14,1504,1845,16,1927,1901,-26,0,,0,N,337,311,281,1,2072,,,,,,,,,
2019-06-30,UA,UA,UA,1143,UA,N424UA,1143,13303,MIA,"Miami, FL",13930,ORD,"Chicago, IL",1610,1844,154,27,1911,2058,7,1849,2105,136,0,,0,N,219,201,167,1,1197,0,0,121,0,15,,,,
2019-01-25,WN,WN,WN,1648,WN,N758SW,1648,13796,OAK,"Oakland, CA",10713,BOI,"Boise, ID",2200,2216,16,10,2226,39,2,25,41,16,0,,0,N,85,85,73,1,512,16,0,0,0,0,,,,
2018-07-14,DL,DL_CODESHARE,DL,5069,9E,N8974C,5069,10397,ATL,"Atlanta, GA",11146,CRW,"Charleston/Dunbar, WV",943,938,-5,12,950,1049,2,1106,1051,-15,0,,0,N,83,73,59,1,363,,,,,,,,,
2018-08-04,DL,DL,DL,997,DL,N659DL,997,14908,SNA,"Santa Ana, CA",10397,ATL,"Atlanta, GA",1130,1141,11,10,1151,1836,6,1855,1842,-13,0,,0,N,265,241,225,1,1919,,,,,,,,,
2019-08-18,AA,AA,AA,1342,AA,N772XF,1342,14730,SDF,"Louisville, KY",11057,CLT,"Charlotte, NC",923,921,-2,14,935,1028,8,1057,1036,-21,0,,0,N,94,75,53,1,335,,,,,,,,,
2018-05-07,WN,WN,WN,5927,WN,N8320J,5927,10397,ATL,"Atlanta, GA",10821,BWI,"Baltimore, MD",1055,1055,0,19,1114,1240,3,1245,1243,-2,0,,0,N,110,108,86,1,577,,,,,,,,,
2019-12-03,WN,WN,WN,2515,WN,N7735A,2515,10800,BUR,"Burbank, CA",14057,PDX,"Portland, OR",1215,1223,8,10,1233,1419,4,1440,1423,-17,0,,0,N,145,120,106,1,817,,,,,,,,,
2019-11-13,UA,UA,UA,2106,UA,N806UA,2106,12264,IAD,"Washington, DC",13303,MIA,"Miami, FL",840,834,-6,18,852,1107,3,1128,1110,-18,0,,0,N,168,156,135,1,921,,,,,,,,,
2019-02-28,WN,WN,WN,2163,WN,N429WN,2163,12889,LAS,"Las Vegas, NV",10800,BUR,"Burbank, CA",855,854,-1,17,911,959,1,1000,1000,0,0,,0,N,65,66,48,1,223,,,,,,,,,
